icd_code,description,number_with_code_devt,percent_devt,number_with_code_frail,percent_frail,points
Z74,Problems related to care-provider dependency,332,1.5,201,4.1,1.1
M79,"Other soft tissue disorders, not elsewhere classified",930,4.2,402,8.2,1.1
W06,Fall involving bed,310,1.4,186,3.8,1.1
S01,Open wound of head,753,3.4,407,8.3,1.1
A04,Other bacterial intestinal infections,221,1,108,2.2,1.1
A09,Diarrhoea and gastroenteritis of presumed infectious origin,1417,6.4,618,12.6,1.1
J18,"Pneumonia, organism unspecified",3830,17.3,1644,33.5,1.1
J69,Pneumonitis due to solids and liquids,487,2.2,250,5.1,1
R47,"Speech disturbances, not elsewhere classified",421,1.9,236,4.8,1
E55,Vitamin D deficiency,310,1.4,157,3.2,1
Z93,Artificial opening status,443,2,162,3.3,1
R02,"Gangrene, not elsewhere classified",155,0.7,83,1.7,1
R63,Symptoms and signs concerning food and fluid intake,1328,6,564,11.5,0.9
H91,Other hearing loss,1151,5.2,466,9.5,0.9
W10,Fall on and from stairs and steps,266,1.2,103,2.1,0.9
W01,"Fall on same level from slipping, tripping and stumbling",686,3.1,270,5.5,0.9
E05,Thyrotoxicosis [hyperthyroidism],199,0.9,74,1.5,0.9
M41,Scoliosis,288,1.3,123,2.5,0.9
R13,Dysphagia,731,3.3,324,6.6,0.8
Z99,Dependence on enabling machines and devices,399,1.8,167,3.4,0.8
U80,Agent resistant to penicillin and related antibiotics,288,1.3,177,3.6,0.8
M80,Osteoporosis with pathological fracture,177,0.8,83,1.7,0.8
K92,Other diseases of digestive system,1018,4.6,388,7.9,0.8
I63,Cerebral Infarction,863,3.9,324,6.6,0.8
N20,Calculus of kidney and ureter,133,0.6,54,1.1,0.7
F10,Mental and behavioural disorders due to use of alcohol,221,1,93,1.9,0.7
Y84,Other medical procedures as the cause of abnormal reaction of the patient,332,1.5,147,3,0.7
R00,Abnormalities of heart beat,1284,5.8,481,9.8,0.7
J22,Unspecified acute lower respiratory infection,2059,9.3,878,17.9,0.7
Z73,Problems related to life-management difficulty,421,1.9,250,5.1,0.6
R79,Other abnormal findings of blood chemistry,819,3.7,324,6.6,0.6
Z91,"Personal history of risk-factors, not elsewhere classified",443,2,182,3.7,0.5
S51,Open wound of forearm,177,0.8,103,2.1,0.5
F32,Depressive episode,1395,6.3,613,12.5,0.5
M48,Spinal stenosis (secondary code only),487,2.2,177,3.6,0.5
E83,Disorders of mineral metabolism,288,1.3,132,2.7,0.4
M15,Polyarthrosis,288,1.3,113,2.3,0.4
D64,Other anaemias,2125,9.6,829,16.9,0.4
L08,Other local infections of skin and subcutaneous tissue,155,0.7,83,1.7,0.4
R11,Nausea and vomiting,1196,5.4,451,9.2,0.3
K52,Other noninfective gastroenteritis and colitis,244,1.1,93,1.9,0.3
R50,Fever of unknown origin,354,1.6,147,3,0.1
